Bip01	Bip01 L Finger2	PositionCurve
Bip01	Bip01 L Finger2	OrientationCurve
Bip01	Bip01 L Finger2	ScaleShearCurve
Bip01	Bip01 L Finger21	PositionCurve
Bip01	Bip01 L Finger21	OrientationCurve
Bip01	Bip01 L Finger21	ScaleShearCurve
Bip01	Bip01 L Finger22	PositionCurve
Bip01	Bip01 L Finger22	OrientationCurve
Bip01	Bip01 L Finger22	ScaleShearCurve
Bip01	Bip01 L Finger2Nub	PositionCurve
Bip01	Bip01 L Finger2Nub	OrientationCurve
Bip01	Bip01 L Finger2Nub	ScaleShearCurve
Bip01	Bip01 R Finger2	PositionCurve
Bip01	Bip01 R Finger2	OrientationCurve
Bip01	Bip01 R Finger2	ScaleShearCurve
Bip01	Bip01 R Finger21	PositionCurve
Bip01	Bip01 R Finger21	OrientationCurve
Bip01	Bip01 R Finger21	ScaleShearCurve
Bip01	Bip01 R Finger22	PositionCurve
Bip01	Bip01 R Finger22	OrientationCurve
Bip01	Bip01 R Finger22	ScaleShearCurve
Bip01	Bip01 R Finger2Nub	PositionCurve
Bip01	Bip01 R Finger2Nub	OrientationCurve
Bip01	Bip01 R Finger2Nub	ScaleShearCurve
