player_wait	PC/ymir work/pc/warrior/warrior_novice.gr2	PC/ymir work/pc/warrior/general/wait.gr2
player_walk	PC/ymir work/pc/warrior/warrior_novice.gr2	PC/ymir work/pc/warrior/general/walk.gr2
player_run	PC/ymir work/pc/warrior/warrior_novice.gr2	PC/ymir work/pc/warrior/general/run.gr2
player_attack	PC/ymir work/pc/warrior/warrior_novice.gr2	PC/ymir work/pc/warrior/general/attack.gr2
player_damage	PC/ymir work/pc/warrior/warrior_novice.gr2	PC/ymir work/pc/warrior/general/damage.gr2
player_dead	PC/ymir work/pc/warrior/warrior_novice.gr2	PC/ymir work/pc/warrior/general/dead.gr2
mob_run	Monster/ymir work/monster/wolf/wolf.gr2	Monster/ymir work/monster/wolf/03.gr2
boss_attack	Monster/ymir work/monster/misterious_diseased_bosshost/misterious_diseased_bosshost.gr2	Monster/ymir work/monster/misterious_diseased_bosshost/20.gr2
mount_run	NPC/ymir work/npc/horse/horse_normal.gr2	NPC/ymir work/npc/horse/03.gr2
glb_fixture_0	../../m2dev-client-src/tests/AssetRuntime/fixtures/f5x/character.glb	0
glb_fixture_1	../../m2dev-client-src/tests/AssetRuntime/fixtures/f5x/character.glb	1
glb_fixture_2	../../m2dev-client-src/tests/AssetRuntime/fixtures/f5x/character.glb	2
glb_fixture_3	../../m2dev-client-src/tests/AssetRuntime/fixtures/f5x/character.glb	3
glb_fixture_4	../../m2dev-client-src/tests/AssetRuntime/fixtures/f5x/character.glb	4
glb_fixture_5	../../m2dev-client-src/tests/AssetRuntime/fixtures/f5x/character.glb	5
